applicant_id,age,annual_income,employment_years,existing_debt,requested_loan_amount,credit_history_length,num_late_payments_last_2y,dti_ratio,default
APP00125,23,76164.0,3.8,3565.0,31185.0,3,0,0.047,0
APP00126,21,161415.0,8.4,21462.0,13614.0,8,0,0.133,0
APP00127,25,62731.0,2.8,12164.0,14286.0,3,0,0.194,0
APP00128,46,141069.0,5.9,24021.0,28593.0,15,2,0.17,0
APP00129,34,39844.0,2.8,7487.0,18491.0,20,2,0.188,0
APP00130,59,55997.0,1.2,6496.0,29725.0,14,0,0.116,0
APP00131,47,36186.0,7.5,9650.0,62549.0,23,1,0.267,0
APP00132,29,75849.0,4.2,9466.0,30828.0,1,1,0.125,0
APP00133,35,108016.0,7.0,25465.0,30325.0,13,1,0.236,0
APP00134,35,75932.0,4.6,25272.0,30340.0,2,0,0.333,0
APP00135,46,135067.0,5.0,61330.0,66705.0,21,7,0.454,1
APP00136,62,50282.0,1.6,8988.0,78907.0,22,3,0.179,0
APP00137,33,81852.0,4.9,918.0,46778.0,3,0,0.011,0
APP00138,52,56177.0,8.3,9628.0,39417.0,0,2,0.171,0
APP00139,59,87626.0,3.1,16067.0,41678.0,22,0,0.183,0
APP00140,52,94077.0,2.0,23662.0,85543.0,8,0,0.252,0
APP00141,24,97851.0,6.0,17033.0,48327.0,16,1,0.174,0
APP00142,50,42818.0,1.0,8982.0,90532.0,13,2,0.21,0
APP00143,57,46870.0,9.0,52645.0,28242.0,16,0,1.123,0
APP00144,43,51424.0,2.8,5843.0,16296.0,0,2,0.114,0
APP00145,59,64897.0,5.9,10724.0,24308.0,9,1,0.165,0
APP00146,35,76389.0,4.2,5631.0,25908.0,22,2,0.074,1
APP00147,63,104198.0,7.5,13571.0,95103.0,15,0,0.13,0
APP00148,49,47856.0,7.8,47629.0,56492.0,24,0,0.995,0
APP00149,56,32843.0,3.9,11935.0,24773.0,18,2,0.363,0
APP00150,33,214888.0,10.2,11994.0,58985.0,23,0,0.056,0
APP00151,52,41534.0,0.9,3440.0,33599.0,24,2,0.083,1
APP00152,27,111097.0,4.8,10619.0,96832.0,2,2,0.096,0
APP00153,42,74283.0,8.4,33536.0,29726.0,11,0,0.451,1
APP00154,48,82922.0,5.0,10936.0,14424.0,2,0,0.132,0
APP00155,22,73074.0,2.0,10361.0,32466.0,14,0,0.142,0
APP00156,62,60330.0,4.0,32357.0,29736.0,16,1,0.536,0
APP00157,26,92225.0,2.2,10396.0,16221.0,17,0,0.113,0
APP00158,48,58730.0,2.1,37558.0,51614.0,6,1,0.64,0
APP00159,48,131026.0,4.1,4780.0,85377.0,18,1,0.036,0
APP00160,64,97170.0,0.1,22978.0,18518.0,6,2,0.236,0
APP00161,64,98696.0,2.8,49864.0,65097.0,4,1,0.505,1
APP00162,40,56752.0,3.8,29920.0,25236.0,7,2,0.527,0
APP00163,50,64979.0,3.7,2999.0,35781.0,20,1,0.046,0
APP00164,31,40378.0,1.8,8017.0,33595.0,15,1,0.199,0
APP00165,48,61297.0,5.0,11009.0,35781.0,15,1,0.18,0
APP00166,45,43552.0,3.5,29970.0,48235.0,18,3,0.688,1
APP00167,59,141003.0,12.2,4604.0,19643.0,24,1,0.033,0
APP00168,53,75002.0,5.1,5913.0,78903.0,14,0,0.079,0
APP00169,21,79638.0,2.2,3699.0,49125.0,6,0,0.046,0
APP00170,47,65344.0,5.9,6901.0,59955.0,4,0,0.106,0
APP00171,33,80724.0,0.6,4908.0,22742.0,22,1,0.061,1
APP00172,61,250807.0,3.7,47970.0,18604.0,10,1,0.191,0
APP00173,23,62940.0,4.2,7959.0,73838.0,9,0,0.126,0
APP00174,59,52828.0,3.7,23219.0,18130.0,24,1,0.44,0
APP00175,26,95306.0,1.7,13553.0,39719.0,20,0,0.142,0
APP00176,28,20685.0,3.6,13402.0,66930.0,22,0,0.648,0
APP00177,47,75507.0,1.2,8324.0,33655.0,8,1,0.11,0
APP00178,29,60727.0,10.3,24736.0,73280.0,0,0,0.407,0
APP00179,57,44527.0,3.6,15115.0,30855.0,19,0,0.339,0
APP00180,53,94266.0,4.8,14435.0,16874.0,0,2,0.153,1
APP00181,62,75131.0,0.9,8310.0,45456.0,7,1,0.111,1
APP00182,64,29697.0,2.1,9473.0,40904.0,2,0,0.319,0
APP00183,44,52931.0,5.2,21400.0,182186.0,1,0,0.404,1
APP00184,35,17255.0,6.8,16059.0,20598.0,3,1,0.931,1
APP00185,52,84680.0,1.5,14747.0,31222.0,18,1,0.174,0
APP00186,52,84259.0,4.8,7308.0,23423.0,10,0,0.087,0
APP00187,44,49186.0,2.5,63278.0,33340.0,4,1,1.287,0
APP00188,61,95804.0,0.6,9102.0,32543.0,23,0,0.095,0
APP00189,32,38513.0,2.0,13040.0,21517.0,9,0,0.339,0
APP00190,59,45105.0,7.0,11503.0,48095.0,23,0,0.255,0
APP00191,22,90093.0,7.5,63817.0,31937.0,22,0,0.708,1
APP00192,23,51827.0,4.1,10587.0,81413.0,7,0,0.204,0
APP00193,57,70875.0,3.8,9839.0,24609.0,12,0,0.139,0
APP00194,37,55170.0,2.5,14686.0,110949.0,4,0,0.266,0
APP00195,22,59548.0,0.3,7671.0,42853.0,11,1,0.129,0
APP00196,22,60863.0,4.5,14607.0,77870.0,12,0,0.24,0
APP00197,48,51360.0,1.6,89079.0,38920.0,21,2,1.734,0
APP00198,43,85070.0,8.3,16979.0,22734.0,7,0,0.2,0
APP00199,57,53425.0,1.1,16491.0,31004.0,14,1,0.309,0
APP00200,52,73706.0,7.2,7523.0,15803.0,12,2,0.102,0
APP00201,53,50799.0,0.6,52437.0,33965.0,0,0,1.032,1
APP00202,21,33957.0,15.3,63021.0,40266.0,21,1,1.856,0
APP00203,39,115407.0,0.9,26427.0,37326.0,5,1,0.229,0
APP00204,22,93879.0,7.5,22540.0,80668.0,10,1,0.24,0
APP00205,64,229657.0,2.0,11072.0,33207.0,12,2,0.048,0
APP00206,46,43391.0,5.2,18271.0,11656.0,20,1,0.421,0
APP00207,52,65875.0,10.4,6849.0,304504.0,19,1,0.104,0
APP00208,26,68579.0,2.7,5427.0,23996.0,0,1,0.079,1
APP00209,52,119933.0,14.4,4065.0,64942.0,10,0,0.034,0
APP00210,24,56752.0,10.5,18556.0,14727.0,10,2,0.327,0
APP00211,31,40720.0,0.8,4435.0,42072.0,7,0,0.109,0
APP00212,37,133774.0,3.3,8958.0,22545.0,21,1,0.067,0
APP00213,58,62422.0,2.8,12721.0,6677.0,2,3,0.204,0
APP00214,44,113473.0,3.5,29621.0,30648.0,18,2,0.261,0
APP00215,25,107055.0,2.5,8412.0,35241.0,11,1,0.079,0
APP00216,54,72046.0,1.5,32553.0,31846.0,5,0,0.452,1
APP00217,26,67026.0,3.2,28320.0,42019.0,22,1,0.423,1
APP00218,42,60127.0,5.1,5670.0,30893.0,7,0,0.094,0
APP00219,31,72577.0,0.1,32803.0,37854.0,4,0,0.452,0
APP00220,36,112595.0,6.4,10648.0,40218.0,9,1,0.095,0
APP00221,53,49108.0,3.8,8963.0,35557.0,21,0,0.183,0
APP00222,29,77221.0,9.2,10684.0,32779.0,15,0,0.138,0
APP00223,26,41801.0,2.3,13322.0,21244.0,11,1,0.319,0
APP00224,36,44487.0,2.1,9585.0,51879.0,16,0,0.215,0
APP00225,49,72008.0,1.7,6824.0,30644.0,5,0,0.095,0
APP00226,23,27444.0,4.9,7325.0,29194.0,8,1,0.267,0
APP00227,40,204900.0,0.5,14930.0,49384.0,9,1,0.073,0
APP00228,56,40274.0,1.8,11750.0,41240.0,19,0,0.292,0
APP00229,39,71679.0,3.9,20371.0,23886.0,13,1,0.284,0
APP00230,46,131152.0,0.8,13931.0,76910.0,13,1,0.106,0
APP00231,23,47503.0,3.6,14209.0,17791.0,16,0,0.299,0
APP00232,39,23125.0,8.1,21467.0,19558.0,24,0,0.928,0
APP00233,40,58544.0,7.4,41570.0,54231.0,15,1,0.71,1
APP00234,52,47221.0,3.1,42925.0,103848.0,3,0,0.909,0
APP00235,27,23431.0,6.6,39039.0,25682.0,1,0,1.666,1
APP00236,61,84326.0,4.7,26805.0,46523.0,15,0,0.318,0
APP00237,53,81109.0,3.9,70851.0,17758.0,0,0,0.874,1
APP00238,60,129465.0,5.3,18963.0,20798.0,2,0,0.146,1
APP00239,59,41756.0,2.5,17334.0,71634.0,22,0,0.415,0
APP00240,38,32874.0,2.7,80430.0,45227.0,10,2,2.447,0
APP00241,60,59673.0,4.6,1509.0,72980.0,15,0,0.025,0
APP00242,21,69970.0,3.3,11259.0,69688.0,17,1,0.161,0
APP00243,31,115922.0,7.3,36388.0,10366.0,14,0,0.314,0
APP00244,48,148047.0,5.8,29267.0,17720.0,8,2,0.198,0
APP00245,45,134221.0,5.8,104039.0,42817.0,11,0,0.775,0
APP00246,43,83975.0,5.0,14559.0,13118.0,17,1,0.173,0
APP00247,51,109070.0,3.8,9465.0,19291.0,4,1,0.087,0
APP00248,50,53090.0,5.7,10243.0,85492.0,23,0,0.193,0
APP00249,62,79554.0,6.9,17231.0,26241.0,7,3,0.217,0
APP00250,55,40310.0,4.4,48890.0,55613.0,2,1,1.213,1
APP00251,27,75459.0,1.6,49381.0,35707.0,1,2,0.654,1
APP00252,36,76445.0,3.4,12774.0,24150.0,24,0,0.167,0
APP00253,46,173003.0,0.8,16357.0,13379.0,18,2,0.095,0
APP00254,22,65219.0,7.9,8190.0,41772.0,7,0,0.126,0
APP00255,21,76498.0,5.7,8904.0,86922.0,1,2,0.116,0
APP00256,32,82329.0,1.6,30854.0,24565.0,18,0,0.375,0
APP00257,25,58255.0,1.9,48135.0,37841.0,0,1,0.826,1
APP00258,57,48960.0,8.1,7648.0,14591.0,21,0,0.156,0
APP00259,52,140001.0,1.8,16226.0,24263.0,12,0,0.116,0
APP00260,29,44781.0,0.8,10999.0,44557.0,22,3,0.246,0
APP00261,61,37648.0,1.1,26665.0,56740.0,19,4,0.708,0
APP00262,55,102758.0,2.6,9791.0,50694.0,16,2,0.095,0
APP00263,39,130471.0,2.3,2861.0,10733.0,2,1,0.022,0
APP00264,36,58355.0,2.5,29821.0,27607.0,8,1,0.511,1
APP00265,23,58804.0,5.5,10480.0,20325.0,4,0,0.178,0
APP00266,40,84227.0,2.1,11389.0,30169.0,5,1,0.135,0
APP00267,44,51332.0,4.5,18929.0,33972.0,3,0,0.369,0
APP00268,53,49471.0,1.2,17717.0,68859.0,16,1,0.358,0
APP00269,44,113527.0,7.6,19243.0,43353.0,20,0,0.17,0
APP00270,31,99068.0,1.3,3627.0,85025.0,20,0,0.037,0
APP00271,28,140868.0,3.4,20849.0,23868.0,20,0,0.148,0
APP00272,56,39093.0,3.0,2901.0,15518.0,15,0,0.074,0
APP00273,58,56884.0,4.3,24727.0,86955.0,15,0,0.435,0
APP00274,60,84170.0,5.9,32686.0,47102.0,21,0,0.388,0
APP00275,40,46036.0,2.3,4470.0,23249.0,10,0,0.097,0
APP00276,55,100795.0,6.0,17374.0,47226.0,1,2,0.172,0
APP00277,45,134903.0,7.3,31124.0,59943.0,16,1,0.231,0
APP00278,55,54629.0,2.8,9328.0,39008.0,14,2,0.171,0
APP00279,45,74555.0,10.5,22900.0,23449.0,17,0,0.307,0
APP00280,49,151419.0,4.3,1439.0,27868.0,9,0,0.01,0
APP00281,38,179806.0,2.5,32163.0,43234.0,5,1,0.179,0
APP00282,38,106181.0,3.6,13684.0,40918.0,20,1,0.129,0
APP00283,22,98392.0,10.5,10870.0,75159.0,15,0,0.11,0
APP00284,55,47721.0,4.4,29355.0,30775.0,4,2,0.615,0
APP00285,36,87518.0,4.4,53286.0,20368.0,11,1,0.609,1
APP00286,61,96607.0,4.7,19704.0,170456.0,5,1,0.204,0
APP00287,56,65829.0,6.4,48386.0,40324.0,13,1,0.735,0
APP00288,53,54318.0,4.4,3856.0,59908.0,22,0,0.071,0
APP00289,24,38536.0,5.2,22760.0,49668.0,15,1,0.591,0
APP00290,53,30673.0,3.5,12021.0,40617.0,24,1,0.392,0
APP00291,34,27613.0,3.8,7111.0,31677.0,6,0,0.258,0
APP00292,41,97706.0,6.6,2856.0,6753.0,1,1,0.029,1
APP00293,40,78736.0,1.8,21795.0,19189.0,5,3,0.277,1
APP00294,28,57417.0,3.4,26909.0,44244.0,8,2,0.469,1
APP00295,27,61962.0,2.7,39090.0,7105.0,6,0,0.631,0
APP00296,23,81246.0,0.9,34241.0,37910.0,1,0,0.421,1
APP00297,37,67354.0,1.0,7206.0,54000.0,18,4,0.107,1
APP00298,53,37411.0,3.4,37518.0,59872.0,7,0,1.003,0
APP00299,32,115439.0,6.8,40826.0,51994.0,10,0,0.354,1
APP00300,42,85141.0,3.9,10851.0,64540.0,24,0,0.127,0
APP00301,42,83529.0,2.1,13667.0,95165.0,3,3,0.164,0
APP00302,50,111166.0,8.4,6328.0,70099.0,15,1,0.057,0
APP00303,58,48687.0,2.4,43683.0,40868.0,24,1,0.897,1
APP00304,58,134170.0,1.4,3986.0,33498.0,17,0,0.03,0
APP00305,28,68185.0,10.6,20496.0,38901.0,12,3,0.301,0
APP00306,47,114039.0,3.6,8288.0,30782.0,4,0,0.073,0
APP00307,47,105580.0,9.7,5507.0,71008.0,1,0,0.052,0
APP00308,54,43504.0,3.3,2982.0,51188.0,10,2,0.069,0
APP00309,41,94038.0,3.4,11245.0,28893.0,0,1,0.12,0
APP00310,50,86089.0,0.9,4858.0,80375.0,12,0,0.056,1
APP00311,53,74247.0,2.4,13977.0,30481.0,4,2,0.188,0
APP00312,48,69760.0,4.7,55021.0,20590.0,17,0,0.789,1
APP00313,53,70056.0,5.4,15672.0,36082.0,13,1,0.224,0
APP00314,25,109792.0,3.7,66027.0,22148.0,12,2,0.601,0
APP00315,39,97631.0,2.6,6089.0,63686.0,6,0,0.062,0
APP00316,24,74253.0,3.4,4795.0,21867.0,7,3,0.065,0
APP00317,55,34684.0,1.3,5875.0,33887.0,17,1,0.169,0
APP00318,37,93641.0,8.7,12682.0,63820.0,6,2,0.135,0
APP00319,64,105010.0,5.9,117990.0,23687.0,19,1,1.124,1
APP00320,48,231007.0,3.1,3534.0,46476.0,16,1,0.015,0
APP00321,50,125206.0,2.3,21933.0,20251.0,15,1,0.175,0
APP00322,49,28294.0,11.1,7631.0,42051.0,10,3,0.27,1
APP00323,26,76055.0,2.0,11170.0,51039.0,18,1,0.147,0
APP00324,55,180898.0,2.8,4883.0,35409.0,0,0,0.027,0
APP00325,61,99885.0,8.9,26992.0,37053.0,20,1,0.27,0
APP00326,57,86191.0,4.0,12898.0,47401.0,7,0,0.15,0
APP00327,44,114704.0,0.7,31887.0,30690.0,0,0,0.278,0
APP00328,49,53574.0,4.1,15370.0,61928.0,8,1,0.287,0
APP00329,51,92878.0,2.1,2849.0,82676.0,18,0,0.031,0
APP00330,55,64522.0,0.8,32120.0,20838.0,20,0,0.498,1
APP00331,53,72416.0,2.2,2669.0,104845.0,8,1,0.037,0
APP00332,41,110661.0,1.3,2993.0,30270.0,20,1,0.027,0
APP00333,52,46011.0,1.7,6414.0,120163.0,24,0,0.139,0
APP00334,43,139245.0,4.0,6483.0,30517.0,9,0,0.047,0
APP00335,53,59195.0,0.9,40815.0,55516.0,23,0,0.69,0
APP00336,23,83311.0,6.3,11650.0,55338.0,22,1,0.14,0
APP00337,38,36306.0,2.6,36240.0,28785.0,10,0,0.998,0
APP00338,45,104811.0,1.8,8482.0,37933.0,0,1,0.081,0
APP00339,62,150731.0,2.6,17225.0,86158.0,19,3,0.114,0
APP00340,51,56539.0,1.3,19521.0,29932.0,24,3,0.345,1
APP00341,23,41977.0,1.3,23315.0,28268.0,7,1,0.555,1
APP00342,60,84035.0,2.4,9210.0,18177.0,19,1,0.11,0
APP00343,44,151358.0,4.1,9875.0,93016.0,11,2,0.065,0
APP00344,52,35421.0,4.7,10525.0,27215.0,0,1,0.297,0
APP00345,42,42060.0,2.3,3562.0,74607.0,9,0,0.085,0
APP00346,43,58274.0,2.8,12492.0,25316.0,3,1,0.214,0
APP00347,22,48525.0,3.9,9829.0,73215.0,14,0,0.203,0
APP00348,47,48601.0,9.3,21249.0,58923.0,18,1,0.437,0
APP00349,62,25666.0,3.5,14372.0,31664.0,5,1,0.56,0
APP00350,22,98177.0,1.9,38914.0,23375.0,4,1,0.396,0
APP00351,46,86626.0,1.5,14130.0,24543.0,4,1,0.163,0
APP00352,37,31275.0,6.4,8521.0,24356.0,17,0,0.272,0
APP00353,60,151539.0,0.3,13991.0,68810.0,2,1,0.092,0
APP00354,53,169489.0,2.2,23845.0,39980.0,21,1,0.141,0
APP00355,29,50239.0,1.5,3234.0,18600.0,1,0,0.064,0
APP00356,63,131042.0,5.8,7539.0,31217.0,3,1,0.058,0
APP00357,59,54913.0,7.9,7667.0,33570.0,17,1,0.14,0
APP00358,49,80062.0,2.8,18561.0,10063.0,8,0,0.232,0
APP00359,62,48152.0,1.8,20370.0,32276.0,18,0,0.423,1
APP00360,46,221267.0,3.0,14487.0,56045.0,9,0,0.065,0
APP00361,55,63069.0,4.5,1839.0,33437.0,21,2,0.029,0
APP00362,45,77903.0,5.0,3563.0,42304.0,14,0,0.046,0
APP00363,44,51846.0,3.0,11035.0,48567.0,0,0,0.213,0
APP00364,33,185472.0,8.0,8945.0,29568.0,10,2,0.048,0
APP00365,27,187833.0,2.1,13417.0,56300.0,13,1,0.071,0
APP00366,56,165291.0,2.4,9177.0,87072.0,9,1,0.056,0
APP00367,40,117974.0,2.5,45493.0,14555.0,18,0,0.386,0
APP00368,21,53509.0,4.1,2132.0,29528.0,23,2,0.04,0
APP00369,28,110628.0,6.1,17019.0,146939.0,20,1,0.154,0
APP00370,36,72873.0,1.0,25911.0,40229.0,15,1,0.356,0
APP00371,34,140956.0,1.2,23417.0,35564.0,7,0,0.166,0
APP00372,32,127765.0,4.2,25080.0,31107.0,1,1,0.196,0
APP00373,43,52858.0,1.2,28138.0,78015.0,22,0,0.532,1
APP00374,35,117467.0,2.7,8240.0,20673.0,24,1,0.07,0
APP00375,48,102849.0,2.5,5535.0,63304.0,6,0,0.054,0
APP00376,54,18274.0,7.4,2623.0,30759.0,18,1,0.144,0
APP00377,22,109149.0,9.8,9996.0,23158.0,6,0,0.092,0
APP00378,52,58930.0,2.2,7172.0,31613.0,14,1,0.122,0
APP00379,43,46957.0,4.9,33836.0,35319.0,7,2,0.721,1
APP00380,42,47972.0,2.6,10614.0,26940.0,13,0,0.221,0
APP00381,45,68349.0,5.9,5859.0,70803.0,0,0,0.086,0
APP00382,42,92970.0,1.2,5162.0,23266.0,12,1,0.056,0
APP00383,42,36948.0,7.3,65582.0,39500.0,2,1,1.775,0
APP00384,62,80412.0,2.0,13126.0,50134.0,20,1,0.163,0
